County,Value,Rank, FIPS 
"Wayne County, Tennessee","45,402","2,566",47181
"Kiowa County, Colorado","45,476","2,565",08061
"Charlton County, Georgia","45,494","2,564",13049
"Rutherford County, North Carolina","45,500","2,563",37161
"Benton County, Missouri","45,533","2,562",29015
"Clarendon County, South Carolina","45,542","2,561",45027
"Charlotte County, Virginia","45,567","2,560",51037
"Jefferson Davis Parish, Louisiana","45,578","2,559",22053
"Wayne County, West Virginia","45,591","2,558",54099
"Orleans Parish, Louisiana","45,594","2,557",22071
"Obion County, Tennessee","45,606","2,556",47131
"Cleveland County, North Carolina","45,646","2,555",37045
